/activiteiten/events/nj12/abstract/ab21.html,Ugly code: Beauty is in the Eye of the Beholder,Alex Papadimoulis
/activiteiten/events/nj12/abstract/ab09.html,Analysing Java programs with ResAna,Marko van Eekelen
/activiteiten/events/nj12/abstract/ab12.html,Scrum: a way of unleashing your potential,Bas Willemsen
/activiteiten/events/nj12/abstract/ab05.html,Perl Desktop Applications,Johan Vromans
/activiteiten/events/nj12/abstract/ab24.html,Goede Java applicaties bouwen in de praktijk,Wouter de Vaal
/activiteiten/events/nj12/abstract/ab04.html,Versiebeheer met Git: een introductie,Mark van Cuijk
/activiteiten/events/nj12/abstract/ab16.html,,Leo Maris
/activiteiten/events/nj12/abstract/ab10.html,"C++11, the good, the bad and the ugly",JC van Winkel
/activiteiten/events/nj12/abstract/ab18.html,,Tim Hemel
/activiteiten/events/nj12/abstract/ab29.html,Unicode en Encoding,H.Merijn Brand
/activiteiten/events/nj12/abstract/ab11.html,CoderDojo,Steve Maddison
/activiteiten/events/nj12/abstract/ab13.html,Cross Site Scripting as a tool,Bastiaan Dressen
/activiteiten/events/nj12/abstract/ab17.html,Anti-pattern matching,John van Krieken
/activiteiten/events/nj12/abstract/ab25.html,integration with Jenkins,Martijn Rutten
/activiteiten/events/nj12/abstract/ab28.html,DomotiGa en Gambas,Teus Hagen
/activiteiten/events/nj12/abstract/ab03.html,Multi-agents met JADE,Jeroen Jonkman
/activiteiten/events/nj12/abstract/ab19.html,Systemen beheren met Salt,Jeroen Dekkers
/activiteiten/events/nj12/abstract/ab27.html,Parallelliseren met Boost/C++,Eric L. Meijer
/activiteiten/events/nj12/abstract/ab08.html,Optimalisatie van C/C++ code voor multicore systemen,Klaas van Gend
/activiteiten/events/nj12/abstract/ab22.html,Ansible,Jan-Piet Mens
/activiteiten/events/nj12/abstract/ab20.html,Werken met BASH,Cecil Westerhof
/activiteiten/events/nj12/abstract/ab07.html,De impact van IPv6 op software,Sander Steffann
/activiteiten/events/nj12/abstract/ab01.html,Plezier met Puppet,Ger Apeldoorn
/activiteiten/events/nj12/abstract/ab30.html,"Python, ter leering ende vermaeck",Remco Wendt en Jan-Jaap Driessen
